NaBH4 Concentrations,absolute maximum,absolute maximum wavelength,integral
0.15,0.094,396,"24.236							"
0.25,0.099,405,"16.095							"
0.25,0.265,415.5,"54.835							"
0.35,0.297,402,"48.465							"
0.53,0.496,406.5,"71.323							"
0.53,0.551,410.5,"74.04							"
0.75,0.51,420.5,"80.318							"
0.75,0.567,403.5,"72.131							"
1.06,0.538,409.5,"76.288							"
1.06,0.567,402.5,"71.907							"
1.25,0.61,402,"71.089							"
